題目,正確答案,選項一,選項二,選項三,選項四
問題#352⼀家公司正在為線上多⼈遊戲設計網路。遊戲使⽤ UDP 網路協議，將部署在八個 AWS 區域。網路架構需要最⼤限度地減少延遲和丟包，為最終⽤⼾提供⾼品質的遊戲體驗。哪種解決⽅案可以滿⾜這些要求？,, 在每個區域設定⼀個中轉網關。在每個中轉網關之間建立區域間對等連接。, 在每個區域中使⽤ UDP 偵聽器和終端節點群組設定 AWS Global Accelerator。, 設定 Amazon CloudFront 並啟⽤ UDP。在每個區域配置⼀個來源。, 在每個區域之間設定 VPC 對等網格。為每個 VPC 啟⽤ UDP。
"問題#353⼀家公司在單⼀可⽤區的 Amazon EC2 執⾏個體上託管⼀個三層 Web 應⽤程式。此 Web 應⽤程式使⽤託管在 EC2 執⾏個體上的⾃我管理 MySQL 資料庫將資料儲存在 Amazon Elastic Block Store (Amazon EBS) 磁碟區中。MySQL 資料庫⽬前使⽤ 1 TB 預先設定 IOPS SSD(io2) EBS 磁碟區。該公司預計峰值流量時的讀取和寫入流量均為 1,000 IOPS。該公司希望最⼤限度地減少任何中斷、穩定性能並降低成本，同時保留雙倍 IOPS 的容量。該公司希望將資料庫層遷移到⾼度可⽤且容錯的完全託管解決⽅案。哪⼀種解決⽅案能夠最具成本效益地滿⾜這些要求？",, 將 Amazon RDS for MySQL 資料庫執⾏個體的多可⽤區部署與 io2 Block Express EBS 磁碟區結合使⽤。, 使⽤具有通⽤ SSD (gp2) EBS 磁碟區的 Amazon RDS for MySQL 資料庫執⾏個體的多可⽤區部署。, 使⽤ Amazon S3 智慧分層存取層。, 使⽤兩個⼤型 EC2 執⾏個體以主動-被動模式託管資料庫。
問題#354⼀家公司在 AWS 上託管無伺服器應⽤程式。該應⽤程式使⽤ Amazon API Gateway、AWS Lambda 和 Amazon RDS for PostgreSQL 資料庫。該公司注意到，在⾼峰流量或不可預測的流量期間，由於資料庫連接逾時⽽導致的應⽤程式錯誤增加。該公司需要⼀種解決⽅案，能夠以最少的程式碼更改來減少應⽤程式故障。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 降低Lambda並發率。, 在 RDS 資料庫執⾏個體上啟⽤ RDS 代理程式。, 調整 RDS 資料庫執⾏個體類別的⼤⼩以接受更多連線。, 透過按需擴充將資料庫移轉到 Amazon DynamoDB。
問題#355⼀家公司正在將舊應⽤程式遷移到 AWS。該應⽤程式每⼩時運⾏⼀個批次作業，並且是 CPU 密集型的。使⽤本機伺服器時，批次作業平均需要 15 分鐘。該伺服器具有 64 個虛擬 CPU (vCPU) 和 512 GiB 記憶體。哪種解決⽅案能夠在 15 分鐘內以最少的營運開銷執⾏批次作業？,, 使⽤ AWS Lambda 進⾏功能擴充。, 將 Amazon Elastic Container Service (Amazon ECS) 與 AWS Fargate 結合使⽤。, 將 Amazon Lightsail 與 AWS Auto Scaling 結合使⽤。, 在 Amazon EC2 上使⽤ AWS Batch。
問題#356⼀家公司將其資料物件儲存在 Amazon S3 標準儲存中。解決⽅案架構師發現 75% 的資料在 30 天後很少被存取。該公司需要所有數據都能立即訪問，並具有相同的⾼可⽤性和彈性，但公司希望最⼤限度地降低儲存成本。哪種儲存解決⽅案可以滿⾜這些要求？,, 30 天後將資料物件移⾄ S3 Glacier Deep Archive。, 30 天後將資料物件移⾄ S3 標準-不頻繁存取 (S3 標準-IA)。, 30 天後將資料物件移⾄ S3 One Zone-Infrequent Access (S3 One Zone-IA)。, 立即將資料物件移⾄ S3 One Zone-Infrequent Access (S3 One Zone-IA)。
問題#357⼀家遊戲公司正在將其公共記分牌從資料中⼼遷移到 AWS 雲端。該公司在應⽤程式負載平衡器後⾯使⽤ Amazon EC2 Windows Server執⾏個體來託管其動態應⽤程式。該公司需要為應⽤程式提供⾼度可⽤的儲存解決⽅案。該應⽤程式由靜態檔案和動態伺服器端程式碼組成。解決⽅案架構師應該採取哪些步驟組合來滿⾜這些要求？（選兩個。）,, 將靜態檔案儲存在 Amazon S3 上。使⽤ Amazon CloudFront 在邊緣快取物件。, 將靜態檔案儲存在 Amazon S3 上。使⽤ Amazon ElastiCache 在邊緣快取物件。, 將伺服器端程式碼儲存在 Amazon Elastic File System (Amazon EFS) 上。在每個 EC2 執⾏個體上掛載 EFS 磁碟區以共⽤檔案。, 將伺服器端程式碼儲存在 Amazon FSx for Windows File Server 上。在每個 EC2 執⾏個體上掛載 FSx for Windows File Server 磁碟區以共⽤檔案。E. 將伺服器端程式碼儲存在通⽤ SSD (gp2) Amazon Elastic Block Store (Amazon EBS) 磁碟區上。在每個 EC2 執⾏個體上掛載 EBS 磁碟區以共⽤檔案。
問題#358⼀家社群媒體公司在應⽤程式負載平衡器 (ALB) 後⾯的 Amazon EC2 執⾏個體上執⾏其應⽤程式。ALB 是 Amazon CloudFront 發⾏版的起源。該應⽤程式在 Amazon S3 儲存桶中儲存了超過⼗億張影像，每秒處理數千張影像。該公司希望動態調整圖像⼤⼩並為客⼾提供適當的格式。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 在 EC2 執⾏個體上安裝外部映像管理庫。使⽤影像管理庫來處理影像。, 建立 CloudFront 來源請求策略。使⽤該策略⾃動調整圖像⼤⼩並根據請求中的 User-Agent HTTP 標頭提供適當的格式。, 將 Lambda@Edge 函數與外部影像管理庫結合使⽤。將 Lambda@Edge 函數與提供圖像的 CloudFront ⾏為相關聯。, 建立 CloudFront 回應標頭策略。使⽤該策略⾃動調整圖像⼤⼩並根據請求中的 User-Agent HTTP 標頭提供適當的格式。
問題#359醫院需要將病患記錄儲存在 Amazon S3 儲存桶中。醫院的合規團隊必須確保所有受保護的健康資訊 (PHI) 在傳輸和靜態時都已加密。合規團隊必須管理靜態資料的加密⾦鑰。哪種解決⽅案可以滿⾜這些要求？,, 在 AWS Certicate Manager (ACM) 中建立公⽤ SSL/TLS 憑證。將憑證與 Amazon S3 關聯。為每個 S3 儲存桶配置預設加密，以使⽤具有 AWS KMS ⾦鑰的伺服器端加密 (SSE-KMS)。分配合規團隊來管理 KMS ⾦鑰。, 在 S3 儲存桶策略上使⽤ aws:SecureTransport 條件以僅允許透過 HTTPS (TLS) 的加密連線。為每個 S3 儲存桶配置預設加密，以使⽤具有 S3 託管加密⾦鑰 (SSE-S3) 的伺服器端加密。分配合規團隊來管理 SSE-S3 ⾦鑰。, 在 S3 儲存桶策略上使⽤ aws:SecureTransport 條件以僅允許透過 HTTPS (TLS) 的加密連線。為每個 S3 儲存桶配置預設加密，以使⽤具有 AWS KMS ⾦鑰的伺服器端加密 (SSE-KMS)。分配合規團隊來管理 KMS ⾦鑰。, 在 S3 儲存桶策略上使⽤ aws:SecureTransport 條件以僅允許透過 HTTPS (TLS) 進⾏加密連線。使⽤ Amazon Macie 保護儲存在Amazon S3 中的敏感資料。分配合規團隊來管理 Macie。
問題#360⼀家公司使⽤ Amazon API Gateway 在同⼀ VPC 中執⾏具有兩個 REST API 的私⼈網關。BuyStock RESTful Web 服務呼叫 CheckFundsRESTful Web 服務，以確保在購買股票之前有⾜夠的可⽤資⾦。該公司在 VPC 流程⽇誌中註意到，BuyStock RESTful Web 服務透過互聯網⽽不是透過 VPC 呼叫 CheckFunds RESTful Web 服務。解決⽅案架構師必須實作解決⽅案，以便 API 透過 VPC 進⾏通訊。哪種解決⽅案能夠以最少的程式碼更改滿⾜這些要求？,, 在 HTTP header 中加入 X-API-Key header 以進⾏授權。, 使⽤介⾯端點。, 使⽤網關端點。, 在兩個 REST API 之間新增 Amazon Simple Queue Service (Amazon SQS) 佇列。
問題#361⼀家公司在 AWS 上託管多⼈遊戲應⽤程式。該公司希望應⽤程式能夠以亞毫秒延遲讀取資料並對歷史資料運⾏⼀次性查詢。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 對經常存取的資料使⽤ Amazon RDS。定期執⾏⾃訂腳本以將資料匯出⾄ Amazon S3 儲存桶。, 將資料直接儲存在 Amazon S3 儲存桶中。實施 S3 ⽣命週期策略，將舊資料移⾄ S3 Glacier Deep Archive 進⾏⻑期儲存。使⽤Amazon Athena 對 Amazon S3 中的資料執⾏⼀次性查詢。, 將 Amazon DynamoDB 與 DynamoDB Accelerator (DAX) 結合使⽤來處理經常存取的資料。使⽤ DynamoDB 表格匯出將資料匯出到Amazon S3 儲存桶。使⽤ Amazon Athena 對 Amazon S3 中的資料執⾏⼀次性查詢。, 將 Amazon DynamoDB ⽤於經常存取的資料。開啟到 Amazon Kinesis Data Streams 的串流。使⽤ Amazon Kinesis Data Firehose 從Kinesis Data Streams 讀取資料。將記錄儲存在 Amazon S3 儲存桶中。
問題#362本公司使⽤的⽀付處理系統要求依照傳送訊息的順序接收特定⽀付 ID 的訊息。否則，付款可能會被錯誤處理。解決⽅案架構師應該採取哪些⾏動來滿⾜此要求？（選兩個。）,, 使⽤付款 ID 作為分區鍵將訊息寫入 Amazon DynamoDB 表。, 使⽤付款 ID 作為分區鍵將訊息寫入 Amazon Kinesis 資料流。, 使⽤付款 ID 作為鍵將訊息寫入 Amazon ElastiCache for Memcached 叢集。, 將訊息寫入 Amazon Simple Queue Service (Amazon SQS) 佇列。設定訊息屬性以使⽤付款 ID。E. 將訊息寫入 Amazon Simple Queue Service (Amazon SQS) FIFO 佇列。設定訊息組以使⽤付款 ID。
問題#363⼀家公司正在建立⼀個遊戲系統，需要同時將獨特的事件發送到單獨的排⾏榜、配對和⾝份驗證服務。該公司需要⼀個 AWS 事件驅動系統來保證事件的順序。哪種解決⽅案可以滿⾜這些要求？,, Amazon EventBridge 事件匯流排, Amazon Simple Notication Service (Amazon SNS) FIFO 主題, Amazon Simple Notication Service (Amazon SNS) 標準主題, Amazon Simple Queue Service (Amazon SQS) FIFO 佇列
問題#364⼀家醫院正在設計⼀種新的應⽤程序，⽤於收集患者的症狀。該醫院決定在架構中使⽤ Amazon Simple Queue Service (Amazon SQS) 和Amazon Simple notication Service (Amazon SNS)。解決⽅案架構師正在審查基礎設施設計。資料在靜態和傳輸過程中必須進⾏加密。只有醫院的授權⼈員才能存取資料。解決⽅案架構師應該採取哪些步驟組合來滿⾜這些要求？（選兩個。）,, 在 SQS 元件上開啟伺服器端加密。更新預設⾦鑰策略以將⾦鑰的使⽤限制為⼀組授權主體。, 使⽤ AWS Key Management Service (AWS KMS) 客⼾託管⾦鑰在 SNS 元件上開啟伺服器端加密。應⽤⾦鑰策略將⾦鑰的使⽤限制為⼀組授權主體。, 開啟 SNS 元件上的加密。更新預設⾦鑰策略以將⾦鑰的使⽤限制為⼀組授權主體。在主題策略中設定條件以僅允許透過 TLS進⾏加密連線。, 使⽤ AWS Key Management Service (AWS KMS) 客⼾託管⾦鑰在 SQS 元件上開啟伺服器端加密。應⽤⾦鑰策略將⾦鑰的使⽤限制為⼀組授權主體。在佇列策略中設定條件以僅允許透過 TLS 的加密連線。E. 使⽤ AWS Key Management Service (AWS KMS) 客⼾託管⾦鑰在 SQS 元件上開啟伺服器端加密。應⽤ IAM 策略將⾦鑰的使⽤限制為⼀組授權主體。在佇列策略中設定條件以僅允許透過 TLS 的加密連線。
問題#365⼀家公司運⾏由 Amazon RDS ⽀援的 Web 應⽤程式。⼀位新的資料庫管理員因意外編輯資料庫表中的資訊⽽導致資料遺失。為了幫助從此類事件中恢復，該公司希望能夠將資料庫恢復到過去 30 天內發⽣任何更改之前 5 分鐘的狀態。解決⽅案架構師應該在設計中包含哪些功能來滿⾜此要求？,, 讀取副本, ⼿動快照, ⾃動備份, 多可⽤區部署
問題#366該公司的 Web 應⽤程式由 AWS Lambda 函數前⾯的 Amazon API Gateway API 和 Amazon DynamoDB 資料庫組成。Lambda 函數處理業務邏輯，DynamoDB 資料表託管資料。該應⽤程式使⽤ Amazon Cognito ⽤⼾池來識別應⽤程式的各個⽤⼾。解決⽅案架構師需要更新應⽤程序，以便只有訂閱的⽤⼾才能存取優質內容。哪種解決⽅案能夠以最少的營運開銷滿⾜這項要求？,, 在 API Gateway API 上啟⽤ API 快取和限制。, 在 API Gateway API 上設定 AWS WAF。建立規則來過濾擁有訂閱的使⽤者。, 將細粒度 IAM 權限套⽤⾄ DynamoDB 表中的優質內容。, 實作 API 使⽤計畫和 API ⾦鑰，以限制沒有訂閱的使⽤者的存取。
問題#367⼀家公司正在使⽤ Amazon Route 53 基於延遲的路由將世界各地⽤⼾的請求路由到其基於 UDP 的應⽤程式。該應⽤程式託管在該公司位於美國、亞洲和歐洲的本地資料中⼼的冗餘伺服器上。該公司的合規性要求規定應⽤程式必須託管在本地。該公司希望提⾼應⽤程式的效能和可⽤性。解決⽅案架構師應該怎麼做才能滿⾜這些要求？,, 在三個 AWS 區域中配置三個網路負載平衡器 (NLB) 以定址本機終端節點。使⽤ AWS Global Accelerator 建立加速器，並將 NLB註冊為其終端節點。使⽤指向加速器 DNS 的 CNAME 提供對應⽤程式的存取。, 在三個 AWS 區域中配置三個 Application Load Balancer (ALB) 以處理本機終端節點。使⽤ AWS Global Accelerator 建立加速器，並將 ALB 註冊為其終端節點。使⽤指向加速器 DNS 的 CNAME 提供對應⽤程式的存取。, 在三個 AWS 區域中配置三個網路負載平衡器 (NLB) 以定址本機終端節點。在 Route 53 中，建立指向三個 NLB 的基於延遲的記錄，並將其⽤作 Amazon CloudFront 分配的來源。使⽤指向 CloudFront DNS 的 CNAME 提供對應⽤程式的存取。, 在三個 AWS 區域中設定三個 Application Load Balancer (ALB) 以處理本機終端節點。在 Route 53 中，建立指向三個 ALB 的基於延遲的記錄，並將其⽤作 Amazon CloudFront 分配的來源。使⽤指向 CloudFront DNS 的 CNAME 提供對應⽤程式的存取。
問題 #368解決⽅案架構師希望所有新使⽤者都有特定的複雜性要求和 IAM 使⽤者密碼的強制輪替期。解決⽅案架構師應該做什麼來實現這個⽬標？,, 為整個 AWS 帳號設定整體密碼原則。, 為 AWS 帳⼾中的每個 IAM 使⽤者設定密碼原則。, 使⽤第三⽅供應商軟體設定密碼要求。, 將 Amazon CloudWatch 規則附加到 Create_newuser 事件，以根據適當的要求設定密碼。
問題#369⼀家公司已將應⽤程式遷移到 Amazon EC2 Linux 執⾏個體。其中⼀個 EC2 執⾏個體會依照計畫執⾏多個 1 ⼩時的任務。這些任務是由不同的團隊編寫的，沒有通⽤的程式語⾔。該公司擔⼼這些任務在單⼀實例上運⾏時的效能和可擴展性。解決⽅案架構師需要實作⼀個解決⽅案來解決這些問題。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 使⽤ AWS Batch 將任務作為作業運⾏。使⽤ Amazon EventBridge (Amazon CloudWatch Events) 排程作業。, 將 EC2 執⾏個體轉換為容器。使⽤ AWS App Runner 按需建立容器以將任務作為作業執⾏。, 將任務複製到 AWS Lambda 函數中。使⽤ Amazon EventBridge (Amazon CloudWatch Events) 規劃 Lambda 函數。, 建立執⾏任務的 EC2 執⾏個體的 Amazon 系統映像 (AMI)。使⽤ AMI 建立 Auto Scaling 群組以執⾏執⾏個體的多個副本。
問題#370⼀家公司在 VPC 中運⾏公共三層 Web 應⽤程式。該應⽤程式在跨多個可⽤區的 Amazon EC2 執⾏個體上執⾏。在私有⼦網路中執⾏的 EC2 執⾏個體需要透過 Internet 與許可證伺服器進⾏通訊。該公司需要⼀個可最⼤限度減少營運維護的託管解決⽅案。哪種解決⽅案滿⾜這些要求？,, 在公有⼦網路中設定 NAT 實例。使⽤指向 NAT 實例的預設路由修改每個私有⼦網路的路由表。, 在私有⼦網路中設定 NAT 實例。使⽤指向 NAT 實例的預設路由修改每個私有⼦網路的路由表。, 在公⽤⼦網路中設定 NAT 閘道。使⽤指向 NAT 閘道的預設路由修改每個私有⼦網路的路由表。, 在私有⼦網路中設定 NAT 閘道。使⽤指向 NAT 閘道的預設路由修改每個私有⼦網路的路由表。
問題#371⼀家公司需要建立 Amazon Elastic Kubernetes Service (Amazon EKS) 叢集來託管數位媒體串流應⽤程式。EKS 叢集將使⽤由 AmazonElastic Block Store (Amazon EBS) 磁碟區⽀援的託管節點群組進⾏儲存。公司必須使⽤儲存在 AWS Key Management Service (AWS KMS)中的客⼾託管⾦鑰對所有靜態資料進⾏加密。哪種操作組合能夠以最少的營運開銷滿⾜此要求？（選兩個。）,, 使⽤ Kubernetes 插件，該插件使⽤客⼾管理的⾦鑰來執⾏資料加密。, 建立 EKS 叢集後，找到 EBS 磁碟區。使⽤客⼾管理的密鑰啟⽤加密。, 在將建立 EKS 叢集的 AWS 區域中預設啟⽤ EBS 加密。選擇客⼾管理的密鑰作為預設密鑰。, 建立 EKS 叢集。建立⼀個 IAM ⾓⾊，該⾓⾊具有向客⼾託管⾦鑰授予權限的策略。將⾓⾊與 EKS 叢集關聯。E. 將客⼾管理的⾦鑰作為 Kubernetes ⾦鑰儲存在 EKS 叢集中。使⽤客⼾管理的密鑰加密 EBS 磁碟區。
問題#372⼀家公司想要將 Oracle 資料庫遷移到 AWS。該資料庫由⼀個表組成，其中包含數百萬個⾼解析度的地理資訊系統 (GIS) 影像，並透過地理代碼進⾏識別。當⾃然災害發⽣時，每隔幾分鐘就會更新數萬張影像。每個地理代碼都有⼀個與其關聯的圖像或⾏。該公司希望有⼀個在此類事件期間具有⾼可⽤性和可擴展性的解決⽅案。哪種解決⽅案最經濟有效率地滿⾜這些要求？,, 將影像和地理程式碼儲存在資料庫表中。使⽤在 Amazon RDS 多重使⽤區資料庫執⾏個體上執⾏的 Oracle。, 將影像儲存在 Amazon S3 儲存桶中。使⽤ Amazon DynamoDB，將地理代碼作為鍵，將圖像 S3 URL 作為值。, 將影像和地理程式碼儲存在 Amazon DynamoDB 表中。在⾼負載期間配置 DynamoDB Accelerator (DAX)。, 將影像儲存在 Amazon S3 儲存桶中。將地理代碼和圖像 S3 URL 儲存在資料庫表中。使⽤在 Amazon RDS 多重使⽤區資料庫執⾏個體上執⾏的 Oracle。
問題#373⼀家公司有⼀個應⽤程序，可以從汽⾞上的物聯網感測器收集數據。資料透過 Amazon Kinesis Data Firehose 串流並儲存在 Amazon S3中。這些數據每年產⽣數萬億個 S3 物件。每天早上，該公司都會使⽤過去 30 天的資料重新訓練⼀套機器學習 (ML) 模型。該公司每年四次使⽤前 12 個⽉的數據進⾏分析並訓練其他機器學習模型。資料的可⽤時間必須最短，延遲時間最⻑為 1 年。⼀年後，資料必須保留以供存檔。哪種儲存解決⽅案最經濟有效率地滿⾜這些要求？,, 使⽤ S3 智慧分層儲存類別。創建 S3 ⽣命週期策略以在 1 年後將物件過渡到 S3 Glacier Deep Archive。, 使⽤ S3 智慧分層儲存類別。配置 S3 智慧分層以在 1 年後⾃動將物件移⾄ S3 Glacier Deep Archive。, 使⽤ S3 標準-不頻繁存取（S3 標準-IA）儲存類別。創建 S3 ⽣命週期策略以在 1 年後將物件過渡到 S3 Glacier Deep Archive。, 使⽤ S3 標準儲存類別。建立 S3 ⽣命週期策略，以在 30 天後將物件轉換為 S3 標準-不頻繁存取 (S3 標準-IA)，然後在 1 年後將物件轉換為 S3 Glacier Deep Archive。
問題#374⼀家公司正在 us-east-1 區域內的三個獨立的 VPC 中運⾏多個業務應⽤程式。應⽤程式必須能夠在 VPC 之間進⾏通訊。應⽤程式還必須能夠每天持續將數百 GB 的資料傳送到在單⼀本地資料中⼼運⾏的延遲敏感型應⽤程式。解決⽅案架構師需要設計⼀個能夠最⼤限度提⾼成本效益的網路連接解決⽅案。哪種解決⽅案滿⾜這些要求？,, 配置從資料中⼼到 AWS 的三個 AWS Site-to-Site VPN 連線。透過為每個 VPC 設定⼀個 VPN 連線來建立連線。, 在每個 VPC 中啟動第三⽅虛擬網路設備。在資料中⼼和每個虛擬設備之間建立 IPsec VPN 隧道。, 設定從資料中⼼到 us-east-1 中的 Direct Connect 閘道的三個 AWS Direct Connect 連線。透過將每個 VPC 設定為使⽤ Direct Connect連線之⼀來建立連線。, 設定⼀個從資料中⼼到 AWS 的 AWS Direct Connect 連線。建立中轉網關，並將每個 VPC 附加到中轉網關。在 Direct Connect 連線和中轉網關之間建立連線。
問題#375⼀家電⼦商務公司正在建立⼀個分散式應⽤程序，其中涉及多個無伺服器功能和 AWS 服務來完成訂單處理任務。作為⼯作流程的⼀部分，這些任務需要⼿動批准。解決⽅案架構師需要為訂單處理應⽤程式設計⼀個架構。此解決⽅案必須能夠將多個 AWS Lambda函數組合到響應式無伺服器應⽤程式中。此解決⽅案還必須編排在 Amazon EC2 執⾏個體、容器或本機伺服器上執⾏的資料和服務。哪種解決⽅案能夠以最少的營運開銷滿⾜這些要求？,, 使⽤ AWS Step Functions 建立應⽤程式。, 將所有應⽤程式元件整合到 AWS Glue 作業中。, 使⽤ Amazon Simple Queue Service (Amazon SQS) 建立應⽤程式。, 使⽤ AWS Lambda 函數和 Amazon EventBridge 事件建立應⽤程式。
問題#376⼀家公司推出了 Amazon RDS for MySQL 資料庫執⾏個體。⼤多數資料庫連接來⾃無伺服器應⽤程式。資料庫的應⽤程式流量以隨機間隔顯著變化。在需求量很⼤時，⽤⼾報告他們的應⽤程式遇到資料庫連線拒絕錯誤。哪種解決⽅案能夠以最少的營運開銷解決此問題？,, 在 RDS Proxy 中建立代理程式。設定使⽤者的應⽤程式以透過 RDS Proxy 使⽤資料庫執⾏個體。, 在使⽤者應⽤程式和資料庫執⾏個體之間部署 Amazon ElastiCache for Memcached。, 將資料庫執⾏個體移轉到具有更⾼ I/O 容量的不同實例類別。配置使⽤者的應⽤程式以使⽤新的資料庫實例。, 為資料庫執⾏個體配置多可⽤區。配置使⽤者的應⽤程式以在資料庫實例之間切換。
問題#377⼀家公司最近部署了⼀個新的審核系統，以集中有關 Amazon EC2 執⾏個體的作業系統版本、修補和安裝軟體的資訊。解決⽅案架構師必須確保透過 EC2 Auto Scaling 群組配置的所有執⾏個體在啟動和終⽌後立即成功將報告傳送⾄審核系統。哪⼀種解決⽅案最有效地實現這些⽬標？,, 使⽤計劃的 AWS Lambda 函數並在所有 EC2 執⾏個體上遠端執⾏腳本以將資料傳送⾄審核系統。, 使⽤ EC2 Auto Scaling ⽣命週期掛鉤執⾏⾃訂腳本，以便在執⾏個體啟動和終⽌時將資料傳送到審核系統。, 使⽤ EC2 Auto Scaling 啟動配置透過使⽤者資料執⾏⾃訂腳本，以便在啟動和終⽌執⾏個體時將資料傳送到審核系統。, 在執⾏個體作業系統上執⾏⾃訂腳本，將資料傳送⾄稽核系統。配置執⾏個體啟動和終⽌時 EC2 Auto Scaling 群組要呼叫的腳本。
問題 #378⼀家公司正在開發⼀款即時多⼈遊戲，該遊戲使⽤ UDP 在 Auto Scaling 群組中的客⼾端和伺服器之間進⾏通訊。預計⽩天的需求會激增，因此遊戲伺服器平台必須做出相應調整。開發⼈員希望將玩家分數和其他非關聯式資料儲存在無需幹預即可擴展的資料庫解決⽅案中。解決⽅案架構師應該推薦哪⼀種解決⽅案？,, 使⽤ Amazon Route 53 進⾏流量分配，使⽤ Amazon Aurora Serverless 進⾏資料儲存。, 使⽤網路負載平衡器進⾏流量分配，並使⽤ Amazon DynamoDB 按需進⾏資料儲存。, 使⽤網路負載平衡器進⾏流量分配，使⽤ Amazon Aurora Global Database 進⾏資料儲存。, 使⽤應⽤程式負載平衡器進⾏流量分配，使⽤ Amazon DynamoDB 全域表進⾏資料儲存。
問題#379⼀家公司託管⼀個使⽤與 AWS Lambda 整合的 Amazon API Gateway API 後端的前端應⽤程式。當 API 收到請求時，Lambda 函數會載入許多函式庫。然後，Lambda 函數連接到 Amazon RDS 資料庫，處理數據，並將數據傳回前端應⽤程式。該公司希望確保所有⽤⼾的回應延遲盡可能低，同時對公司營運的變更最少。哪種解決⽅案可以滿⾜這些要求？,, 在前端應⽤程式和資料庫之間建立連接，繞過 API 使查詢速度更快。, 為處理請求的 Lambda 函數配置預置並發。, 在 Amazon S3 中快取查詢結果，以便更快地檢索類似資料集。, 增加資料庫的⼤⼩以增加 Lambda ⼀次可以建立的連線數。
問題#380⼀家公司正在將其本地⼯作負載遷移到 AWS 雲端。該公司已使⽤多個 Amazon EC2 執⾏個體和 Amazon RDS 資料庫執⾏個體。該公司需要⼀個能夠在⼯作時間之外⾃動啟動和停⽌ EC2 執⾏個體和資料庫執⾏個體的解決⽅案。此解決⽅案必須最⼤限度地減少成本和基礎設施維護。哪種解決⽅案可以滿⾜這些要求？,, 使⽤彈性調整⼤⼩來擴展 EC2 執⾏個體。在⼯作時間之外將資料庫執⾏個體擴展到零。, 探索 AWS Marketplace 尋找合作夥伴解決⽅案，這些解決⽅案將按計劃⾃動啟動和停⽌ EC2 執⾏個體和資料庫執⾏個體。, 啟動另⼀個 EC2 執⾏個體。配置 crontab 計劃來執⾏ shell 腳本，這些腳本將按計劃啟動和停⽌現有 EC2 執⾏個體和資料庫執⾏個體。, 建立⼀個 AWS Lambda 函數來啟動和停⽌ EC2 執⾏個體和資料庫執⾏個體。配置 Amazon EventBridge 以按計畫呼叫 Lambda 函數。
問題 #381⼀家公司託管⼀個包含 PostgreSQL 資料庫的三層 Web 應⽤程式。資料庫儲存文檔的元資料。該公司在元資料中搜尋關鍵術語，以檢索該公司每⽉在報告中審查的文件。這些文件儲存在 Amazon S3 中。這些文件通常只編寫⼀次，但會經常更新。使⽤關係查詢，報告過程需要幾個⼩時。報告過程不得阻⽌任何文件修改或新增文件。解決⽅案架構師需要實施解決⽅案來加快報告流程。哪種解決⽅案能夠以最少的應⽤程式程式碼變更來滿⾜這些要求？,, 設定⼀個包含唯讀副本的新 Amazon DocumentDB（與 MongoDB 相容）叢集。縮放只讀副本以產⽣報告。, 設定包含 Aurora 副本的新 Amazon Aurora PostgreSQL 資料庫叢集。向 Aurora 副本發出查詢以產⽣報告。, 設定新的 Amazon RDS for PostgreSQL 多可⽤區資料庫執⾏個體。配置上報模組查詢輔助RDS節點，使上報模組不會影響主節點。, 設定⼀個新的 Amazon DynamoDB 表格來儲存文件。使⽤固定的寫入容量來⽀援新的文件條⽬。⾃動擴展讀取容量以⽀援報告。
問題#382⼀家公司在 AWS 上有⼀個三層應⽤程序，⽤於從⽤⼾的裝置中提取感測器資料。流量流經網路負載平衡器 (NLB)，然後流向 Web 層的 Amazon EC2 實例，最後流向應⽤程式層的 EC2 執⾏個體。應⽤程式層呼叫資料庫。解決⽅案架構師應該如何提⾼傳輸中資料的安全性？,, 設定 TLS 偵聽器。在 NLB 上部署伺服器憑證。, 配置 AWS Shield Advanced。在 NLB 上啟⽤ AWS WAF。, 將負載平衡器變更為應⽤程式負載平衡器 (ALB)。在 ALB 上啟⽤ AWS WAF。, 使⽤ AWS Key Management Service (AWS KMS) 加密 EC2 執⾏個體上的 Amazon Elastic Block Store (Amazon EBS) 磁碟區。
問題#383⼀家公司正計劃將商業現成應⽤程式從其本地資料中⼼遷移到 AWS。該軟體具有使⽤套接字和核⼼的軟體許可模型，具有可預測的容量和正常運⾏時間要求。該公司希望使⽤今年稍早購買的現有許可證。哪種 Amazon EC2 定價選項最具成本效益？,, 專⽤保留主機, 專⽤點播主機, 專⽤預留實例, 專⽤按需實例
